class,module,npm_install,jelly_exit,seconds,note
prototype-pollution,patchmerge_1.0.1,ok,0,0.40,
prototype-pollution,pathval_1.1.0,ok,0,0.41,
prototype-pollution,paypal-adaptive_0.4.1,ok,0,0.44,
prototype-pollution,phpjs_1.3.2,ok,0,1.19,
prototype-pollution,plain-object-merge_1.0.1,ok,0,0.40,
prototype-pollution,predefine_0.1.2,ok,0,0.43,
prototype-pollution,promisehelpers_0.0.5,ok,0,0.40,
prototype-pollution,properties-reader_2.0.0,ok,0,0.44,
prototype-pollution,property-expr_2.0.2,ok,0,0.41,
prototype-pollution,Proto_1.1.4,ok,0,0.50,
prototype-pollution,prototyped.js_2.0.0,ok,0,0.41,
prototype-pollution,putil-merge_3.0.0,ok,0,0.41,
prototype-pollution,querymen_2.1.3,ok,0,2.67,
prototype-pollution,rdf-graph-array_0.3.0,ok,0,0.49,
prototype-pollution,record-like-deep-assign_1.0.1,ok,0,0.39,
prototype-pollution,rfc6902_4.0.2,ok,0,0.46,
prototype-pollution,safe-flat_2.0.0,ok,0,0.40,
prototype-pollution,safe-obj_1.0.0,ok,0,0.41,
prototype-pollution,safe-object2_1.0.3,ok,0,0.42,
prototype-pollution,safetydance_2.0.1,ok,0,0.43,
prototype-pollution,sahmat_1.0.0,ok,0,0.39,
prototype-pollution,sds_3.2.0,ok,0,1.49,
prototype-pollution,set-deep-prop_1.0.0,ok,0,0.39,
prototype-pollution,set-getter_0.1.0,ok,0,0.42,
prototype-pollution,set-in_1.0.0,ok,0,0.93,
prototype-pollution,set-object-value_0.0.5,ok,0,0.39,
prototype-pollution,set-or-get_1.2.10,ok,0,0.42,
prototype-pollution,set-value_3.0.0,ok,0,0.42,
prototype-pollution,shvl_2.0.1,ok,0,0.39,
prototype-pollution,simpl-schema_1.10.0,ok,0,0.87,
prototype-pollution,smart-extend_1.7.3,ok,0,0.43,
prototype-pollution,strikeentco-set_1.0.0,ok,0,0.39,
prototype-pollution,style-dictionary_2.10.2,ok,0,4.08,
prototype-pollution,supermixer_1.0.3,ok,0,0.51,
prototype-pollution,swiper_6.5.0,ok,0,1.24,
prototype-pollution,Templ8_0.7.0,ok,0,0.50,
prototype-pollution,think-config_1.0.0,ok,0,0.62,
prototype-pollution,think-helper_1.1.0,ok,0,0.48,
prototype-pollution,tiny-conf_1.1.0,ok,0,0.40,
prototype-pollution,total.js_3.4.6,ok,0,3.68,
prototype-pollution,tree-kit_0.6.1,ok,0,0.54,
prototype-pollution,ts-dot-prop_1.4.0,ok,0,0.43,
prototype-pollution,tsed-core_5.62.3,ok,0,0.83,
prototype-pollution,typeorm_0.2.24,ok,0,0.39,
prototype-pollution,uifabric-utilities_7.20.2,ok,0,0.99,
prototype-pollution,undefsafe_2.0.2,ok,0,0.41,
prototype-pollution,upmerge_0.1.7,ok,0,0.41,
prototype-pollution,utilitify_1.0.2,ok,0,0.81,
prototype-pollution,utils-extend_1.0.8,ok,0,0.41,
prototype-pollution,vega-util_1.13.0,ok,0,0.48,
prototype-pollution,viking04-merge_1.0.0,ok,0,0.39,
prototype-pollution,worksmith_1.0.0,ok,0,2.89,
prototype-pollution,x-assign_0.1.4,ok,0,0.39,
prototype-pollution,y18n_3.2.1,ok,0,0.42,
prototype-pollution,yargs-parser_6.0.0,ok,0,0.48,
redos,ajv_5.2.2,ok,0,0.95,
redos,amqp-match_0.0.0,ok,0,0.38,
redos,ansi-html_0.0.7,ok,0,0.41,
redos,ansi-regex_4.1.0,ok,0,0.39,
redos,axios_0.21.0,ok,0,0.42,
redos,brace-expansion_1.1.6,ok,0,0.43,
redos,browserslist_4.16.4,ok,0,0.64,
redos,cejs_2.0.20170212,ok,0,0.41,
redos,charset_1.0.0,ok,0,0.39,
redos,checkit_0.7.0,ok,0,0.99,
redos,chrono-node_2.2.3,ok,0,0.94,
redos,clean-css_4.1.10,ok,0,2.12,
